% DOF: 3
% dt: 0.0200 s
% units: radians
% columns: time_s, joint_1, joint_2, joint_3
4.767616,-0.726922,0.500000,-0.300000
4.787650,-0.720622,0.500000,-0.300000
4.807684,-0.714096,0.500000,-0.300000
4.827719,-0.707172,0.500000,-0.300000
4.847753,-0.699679,0.500000,-0.300000
4.867787,-0.691444,0.500000,-0.300000
4.887821,-0.682392,0.500000,-0.300000
4.907855,-0.672978,0.500000,-0.300000
4.927889,-0.663841,0.500000,-0.300000
4.947924,-0.655620,0.500000,-0.300000
4.967958,-0.648956,0.500000,-0.300000
4.987992,-0.644489,0.500000,-0.300000
5.008026,-0.642857,0.500000,-0.300000
5.108026,-0.642857,0.500000,-0.300000
5.128060,-0.641226,0.500000,-0.300000
5.148094,-0.636758,0.500000,-0.300000
5.168129,-0.630094,0.500000,-0.300000
5.188163,-0.621874,0.500000,-0.300000
5.208197,-0.612736,0.500000,-0.300000
5.228231,-0.603322,0.500000,-0.300000
5.248265,-0.594270,0.500000,-0.300000
5.268299,-0.586036,0.500000,-0.300000
5.288333,-0.578542,0.500000,-0.300000
5.308368,-0.571618,0.500000,-0.300000
5.328402,-0.565092,0.500000,-0.300000
5.348436,-0.558792,0.500000,-0.300000
5.368470,-0.552548,0.500000,-0.300000
5.388504,-0.546187,0.500000,-0.300000
5.408538,-0.539604,0.500000,-0.300000
5.428573,-0.532827,0.500000,-0.300000
5.448607,-0.525903,0.500000,-0.300000
5.468641,-0.518877,0.500000,-0.300000
5.488675,-0.511797,0.500000,-0.300000
5.508709,-0.504708,0.500000,-0.300000
5.528743,-0.497656,0.500000,-0.300000
5.548778,-0.490665,0.500000,-0.300000
5.568812,-0.483724,0.500000,-0.300000
5.588846,-0.476821,0.500000,-0.300000
5.608880,-0.469942,0.500000,-0.300000
5.628914,-0.463074,0.500000,-0.300000
5.648948,-0.456204,0.500000,-0.300000
5.668983,-0.449318,0.500000,-0.300000
5.689017,-0.442414,0.500000,-0.300000
5.709051,-0.435496,0.500000,-0.300000
5.729085,-0.428571,0.500000,-0.300000
5.749119,-0.421647,0.500000,-0.300000
5.769153,-0.414729,0.500000,-0.300000
5.789188,-0.407825,0.500000,-0.300000
5.809222,-0.400939,0.500000,-0.300000
5.829256,-0.394069,0.500000,-0.300000
5.849290,-0.387201,0.500000,-0.300000
5.869324,-0.380322,0.500000,-0.300000
5.889358,-0.373419,0.500000,-0.300000
5.909392,-0.366478,0.500000,-0.300000
5.929427,-0.359487,0.500000,-0.300000
5.949461,-0.352435,0.500000,-0.300000
5.969495,-0.345346,0.500000,-0.300000
5.989529,-0.338265,0.500000,-0.300000
6.009563,-0.331240,0.500000,-0.300000
6.029597,-0.324316,0.500000,-0.300000
6.049632,-0.317539,0.500000,-0.300000
6.069666,-0.310956,0.500000,-0.300000
6.089700,-0.304595,0.500000,-0.300000
6.109734,-0.298350,0.500000,-0.300000
6.129768,-0.292051,0.500000,-0.300000
6.149802,-0.285525,0.500000,-0.300000
6.169837,-0.278601,0.500000,-0.300000
6.189871,-0.271107,0.500000,-0.300000
6.209905,-0.262873,0.500000,-0.300000
6.229939,-0.253821,0.500000,-0.300000
6.249973,-0.244407,0.500000,-0.300000
6.270007,-0.235269,0.500000,-0.300000
6.290042,-0.227049,0.500000,-0.300000
6.310076,-0.220385,0.500000,-0.300000
6.330110,-0.215917,0.500000,-0.300000
6.350144,-0.214286,0.500000,-0.300000
6.450144,-0.214286,0.500000,-0.300000
6.470178,-0.212654,0.500000,-0.300000
6.490212,-0.208187,0.500000,-0.300000
6.510247,-0.201523,0.500000,-0.300000
6.530281,-0.193302,0.500000,-0.300000
6.550315,-0.184165,0.500000,-0.300000
6.570349,-0.174750,0.500000,-0.300000
6.590383,-0.165699,0.500000,-0.300000
6.610417,-0.157464,0.500000,-0.300000
6.630451,-0.149971,0.500000,-0.300000
6.650486,-0.143047,0.500000,-0.300000
6.670520,-0.136521,0.500000,-0.300000
6.690554,-0.130221,0.500000,-0.300000
6.710588,-0.123976,0.500000,-0.300000
6.730622,-0.117616,0.500000,-0.300000
6.750656,-0.111032,0.500000,-0.300000
6.770691,-0.104255,0.500000,-0.300000
6.790725,-0.097331,0.500000,-0.300000
6.810759,-0.090306,0.500000,-0.300000
6.830793,-0.083226,0.500000,-0.300000
6.850827,-0.076137,0.500000,-0.300000
6.870861,-0.069085,0.500000,-0.300000
6.890896,-0.062093,0.500000,-0.300000
6.910930,-0.055153,0.500000,-0.300000
6.930964,-0.048250,0.500000,-0.300000
6.950998,-0.041371,0.500000,-0.300000
6.971032,-0.034502,0.500000,-0.300000
6.991066,-0.027632,0.500000,-0.300000
7.011101,-0.020747,0.500000,-0.300000
7.031135,-0.013842,0.500000,-0.300000
7.051169,-0.006924,0.500000,-0.300000
7.071203,-0.000000,0.500000,-0.300000
7.091237,0.006924,0.500000,-0.300000
7.111271,0.013842,0.500000,-0.300000
7.131306,0.020747,0.500000,-0.300000
7.151340,0.027632,0.500000,-0.300000
7.171374,0.034502,0.500000,-0.300000
7.191408,0.041371,0.500000,-0.300000
7.211442,0.048250,0.500000,-0.300000
7.231476,0.055153,0.500000,-0.300000
7.251510,0.062093,0.500000,-0.300000
7.271545,0.069085,0.500000,-0.300000
7.291579,0.076137,0.500000,-0.300000
7.311613,0.083226,0.500000,-0.300000
7.331647,0.090306,0.500000,-0.300000
7.351681,0.097331,0.500000,-0.300000
7.371715,0.104255,0.500000,-0.300000
7.391750,0.111032,0.500000,-0.300000
7.411784,0.117616,0.500000,-0.300000
7.431818,0.123976,0.500000,-0.300000
7.451852,0.130221,0.500000,-0.300000
7.471886,0.136521,0.500000,-0.300000
7.491920,0.143047,0.500000,-0.300000
7.511955,0.149971,0.500000,-0.300000
7.531989,0.157464,0.500000,-0.300000
7.552023,0.165699,0.500000,-0.300000
7.572057,0.174750,0.500000,-0.300000
7.592091,0.184165,0.500000,-0.300000
7.612125,0.193302,0.500000,-0.300000
7.632160,0.201523,0.500000,-0.300000
7.652194,0.208187,0.500000,-0.300000
7.672228,0.212654,0.500000,-0.300000
7.692262,0.214286,0.500000,-0.300000
7.792262,0.214286,0.500000,-0.300000
7.812296,0.215917,0.500000,-0.300000
7.832330,0.220385,0.500000,-0.300000
7.852365,0.227049,0.500000,-0.300000
7.872399,0.235269,0.500000,-0.300000
7.892433,0.244407,0.500000,-0.300000
7.912467,0.253821,0.500000,-0.300000
7.932501,0.262873,0.500000,-0.300000
7.952535,0.271107,0.500000,-0.300000
7.972569,0.278601,0.500000,-0.300000
7.992604,0.285525,0.500000,-0.300000
8.012638,0.292051,0.500000,-0.300000
8.032672,0.298350,0.500000,-0.300000
8.052706,0.304595,0.500000,-0.300000
8.072740,0.310956,0.500000,-0.300000
8.092774,0.317539,0.500000,-0.300000
8.112809,0.324316,0.500000,-0.300000
8.132843,0.331240,0.500000,-0.300000
8.152877,0.338265,0.500000,-0.300000
8.172911,0.345346,0.500000,-0.300000
8.192945,0.352435,0.500000,-0.300000
8.212979,0.359487,0.500000,-0.300000
8.233014,0.366478,0.500000,-0.300000
8.253048,0.373419,0.500000,-0.300000
8.273082,0.380322,0.500000,-0.300000
8.293116,0.387201,0.500000,-0.300000
8.313150,0.394069,0.500000,-0.300000
8.333184,0.400939,0.500000,-0.300000
8.353219,0.407825,0.500000,-0.300000
8.373253,0.414729,0.500000,-0.300000
8.393287,0.421647,0.500000,-0.300000
8.413321,0.428571,0.500000,-0.300000
8.433355,0.435496,0.500000,-0.300000
8.453389,0.442414,0.500000,-0.300000
8.473424,0.449318,0.500000,-0.300000
8.493458,0.456204,0.500000,-0.300000
8.513492,0.463074,0.500000,-0.300000
8.533526,0.469942,0.500000,-0.300000
8.553560,0.476821,0.500000,-0.300000
8.573594,0.483724,0.500000,-0.300000
8.593628,0.490665,0.500000,-0.300000
8.613663,0.497656,0.500000,-0.300000
8.633697,0.504708,0.500000,-0.300000
8.653731,0.511797,0.500000,-0.300000
8.673765,0.518877,0.500000,-0.300000
8.693799,0.525903,0.500000,-0.300000
8.713833,0.532827,0.500000,-0.300000
8.733868,0.539604,0.500000,-0.300000
8.753902,0.546187,0.500000,-0.300000
8.773936,0.552548,0.500000,-0.300000
8.793970,0.558792,0.500000,-0.300000
8.814004,0.565092,0.500000,-0.300000
8.834038,0.571618,0.500000,-0.300000
8.854073,0.578542,0.500000,-0.300000
8.874107,0.586036,0.500000,-0.300000
8.894141,0.594270,0.500000,-0.300000
8.914175,0.603322,0.500000,-0.300000
8.934209,0.612736,0.500000,-0.300000
8.954243,0.621874,0.500000,-0.300000
8.974278,0.630094,0.500000,-0.300000
8.994312,0.636758,0.500000,-0.300000
9.014346,0.641226,0.500000,-0.300000
9.034380,0.642857,0.500000,-0.300000
9.134380,0.642857,0.500000,-0.300000
9.154414,0.644489,0.500000,-0.300000
9.174448,0.648956,0.500000,-0.300000
9.194483,0.655620,0.500000,-0.300000
9.214517,0.663841,0.500000,-0.300000
9.234551,0.672978,0.500000,-0.300000
9.254585,0.682392,0.500000,-0.300000
9.274619,0.691444,0.500000,-0.300000
9.294653,0.699679,0.500000,-0.300000
9.314687,0.707172,0.500000,-0.300000
9.334722,0.714096,0.500000,-0.300000
9.354756,0.720622,0.500000,-0.300000
9.374790,0.726922,0.500000,-0.300000
9.394824,0.733167,0.500000,-0.300000
9.414858,0.739527,0.500000,-0.300000
9.434892,0.746111,0.500000,-0.300000
9.454927,0.752887,0.500000,-0.300000
9.474961,0.759812,0.500000,-0.300000
9.494995,0.766837,0.500000,-0.300000
9.515029,0.773917,0.500000,-0.300000
9.535063,0.781006,0.500000,-0.300000
9.555097,0.788058,0.500000,-0.300000
9.575132,0.795049,0.500000,-0.300000
9.595166,0.801990,0.500000,-0.300000
9.615200,0.808893,0.500000,-0.300000
9.635234,0.815772,0.500000,-0.300000
9.655268,0.822640,0.500000,-0.300000
9.675302,0.829511,0.500000,-0.300000
9.695337,0.836396,0.500000,-0.300000
9.715371,0.843301,0.500000,-0.300000
9.735405,0.850218,0.500000,-0.300000
9.755439,0.857143,0.500000,-0.300000
9.775473,0.864067,0.500000,-0.300000
9.795507,0.870985,0.500000,-0.300000
9.815542,0.877890,0.500000,-0.300000
9.835576,0.884775,0.500000,-0.300000
9.855610,0.891645,0.500000,-0.300000
9.875644,0.898513,0.500000,-0.300000
9.895678,0.905392,0.500000,-0.300000
9.915712,0.912296,0.500000,-0.300000
9.935746,0.919236,0.500000,-0.300000
9.955781,0.926228,0.500000,-0.300000
9.975815,0.933280,0.500000,-0.300000
9.995849,0.940369,0.500000,-0.300000
10.015883,0.947449,0.500000,-0.300000
10.035917,0.954474,0.500000,-0.300000
10.055951,0.961398,0.500000,-0.300000
10.075986,0.968175,0.500000,-0.300000
10.096020,0.974758,0.500000,-0.300000
10.116054,0.981119,0.500000,-0.300000
10.136088,0.987364,0.500000,-0.300000
10.156122,0.993663,0.500000,-0.300000
10.176156,1.000190,0.500000,-0.300000
10.196191,1.007114,0.500000,-0.300000
10.216225,1.014607,0.500000,-0.300000
10.236259,1.022841,0.500000,-0.300000
10.256293,1.031893,0.500000,-0.300000
10.276327,1.041308,0.500000,-0.300000
10.296361,1.050445,0.500000,-0.300000
10.316396,1.058666,0.500000,-0.300000
10.336430,1.065330,0.500000,-0.300000
10.356464,1.069797,0.500000,-0.300000
10.376498,1.071429,0.500000,-0.300000
10.476498,1.071429,0.500000,-0.300000
10.496532,1.073060,0.500000,-0.300000
10.516566,1.077528,0.500000,-0.300000
10.536601,1.084191,0.500000,-0.300000
10.556635,1.092412,0.500000,-0.300000
10.576669,1.101549,0.500000,-0.300000
10.596703,1.110964,0.500000,-0.300000
10.616737,1.120016,0.500000,-0.300000
10.636771,1.128250,0.500000,-0.300000
10.656806,1.135744,0.500000,-0.300000
10.676840,1.142668,0.500000,-0.300000
10.696874,1.149194,0.500000,-0.300000
10.716908,1.155493,0.500000,-0.300000
10.736942,1.161738,0.500000,-0.300000
10.756976,1.168099,0.500000,-0.300000
10.777010,1.174682,0.500000,-0.300000
10.797045,1.181459,0.500000,-0.300000
10.817079,1.188383,0.500000,-0.300000
10.837113,1.195408,0.500000,-0.300000
10.857147,1.202489,0.500000,-0.300000
10.877181,1.209578,0.500000,-0.300000
10.897215,1.216630,0.500000,-0.300000
