% DOF: 3
% dt: 0.0200 s
% units: radians
% columns: time_s, joint_1, joint_2, joint_3
11.932081,-0.086116,0.414821,-0.028705
11.952420,-0.091321,0.421762,-0.030440
11.972759,-0.096536,0.428715,-0.032179
11.993098,-0.101724,0.435632,-0.033908
12.013437,-0.106865,0.442487,-0.035622
12.033776,-0.111968,0.449290,-0.037323
12.054115,-0.117042,0.456057,-0.039014
12.074454,-0.122100,0.462800,-0.040700
12.094793,-0.127152,0.469536,-0.042384
12.115132,-0.132208,0.476277,-0.044069
12.135471,-0.137278,0.483037,-0.045759
12.155810,-0.142362,0.489815,-0.047454
12.176149,-0.147453,0.496604,-0.049151
12.196488,-0.152547,0.503396,-0.050849
12.216827,-0.157638,0.510185,-0.052546
12.237166,-0.162722,0.516963,-0.054241
12.257505,-0.167792,0.523723,-0.055931
12.277844,-0.172848,0.530464,-0.057616
12.298183,-0.177900,0.537200,-0.059300
12.318522,-0.182958,0.543943,-0.060986
12.338861,-0.188032,0.550710,-0.062677
12.359200,-0.193135,0.557513,-0.064378
12.379539,-0.198276,0.564368,-0.066092
12.399878,-0.203464,0.571285,-0.067821
12.420217,-0.208679,0.578238,-0.069560
12.440556,-0.213884,0.585179,-0.071295
12.460895,-0.219042,0.592056,-0.073014
12.481234,-0.224115,0.598820,-0.074705
12.501573,-0.229066,0.605421,-0.076355
12.521912,-0.233857,0.611809,-0.077952
12.542251,-0.238491,0.617987,-0.079497
12.562590,-0.243086,0.624115,-0.081029
12.582929,-0.247783,0.630377,-0.082594
12.603268,-0.252719,0.636959,-0.084240
12.623607,-0.258035,0.644047,-0.086012
12.643946,-0.263870,0.651827,-0.087957
12.664285,-0.270345,0.660460,-0.090115
12.684624,-0.277241,0.669654,-0.092414
12.704963,-0.284048,0.678731,-0.094683
12.725302,-0.290247,0.686997,-0.096749
12.745640,-0.295319,0.693759,-0.098440
12.765979,-0.298743,0.698324,-0.099581
12.786318,-0.300000,0.700000,-0.100000
13.286318,-0.300000,0.700000,-0.100000
13.306413,-0.299287,0.698336,-0.099762
13.326507,-0.297291,0.693680,-0.099097
13.346601,-0.294230,0.686537,-0.098077
13.366696,-0.290320,0.677413,-0.096773
13.386790,-0.285777,0.666812,-0.095259
13.406884,-0.280817,0.655241,-0.093606
13.426979,-0.275658,0.643203,-0.091886
13.447073,-0.270516,0.631204,-0.090172
13.467167,-0.265606,0.619748,-0.088535
13.487262,-0.261064,0.609150,-0.087021
13.507356,-0.256852,0.599322,-0.085617
13.527450,-0.252913,0.590131,-0.084304
13.547545,-0.249189,0.581441,-0.083063
13.567639,-0.245621,0.573116,-0.081874
13.587733,-0.242152,0.565021,-0.080717
13.607827,-0.238723,0.557020,-0.079574
13.627922,-0.235277,0.548979,-0.078426
13.648016,-0.231756,0.540764,-0.077252
13.668110,-0.228137,0.532319,-0.076046
13.688205,-0.224432,0.523675,-0.074811
13.708299,-0.220658,0.514869,-0.073553
13.728393,-0.216830,0.505937,-0.072277
13.748488,-0.212964,0.496916,-0.070988
13.768582,-0.209075,0.487841,-0.069692
13.788676,-0.205179,0.478750,-0.068393
13.808771,-0.201291,0.469680,-0.067097
13.828865,-0.197427,0.460663,-0.065809
13.848959,-0.193589,0.451707,-0.064530
13.869054,-0.189773,0.442803,-0.063258
13.889148,-0.185974,0.433940,-0.061991
13.909242,-0.182188,0.425106,-0.060729
13.929336,-0.178411,0.416293,-0.059470
13.949431,-0.174638,0.407490,-0.058213
13.969525,-0.170865,0.398685,-0.056955
13.989619,-0.167087,0.389870,-0.055696
14.009714,-0.163300,0.381034,-0.054433
14.029808,-0.159506,0.372180,-0.053169
14.049902,-0.155706,0.363313,-0.051902
14.069997,-0.151902,0.354439,-0.050634
14.090091,-0.148098,0.345561,-0.049366
14.110185,-0.144294,0.336687,-0.048098
14.130280,-0.140494,0.327820,-0.046831
14.150374,-0.136700,0.318966,-0.045567
14.170468,-0.132913,0.310130,-0.044304
14.190563,-0.129135,0.301315,-0.043045
14.210657,-0.125362,0.292510,-0.041787
14.230751,-0.121589,0.283707,-0.040530
14.250846,-0.117812,0.274894,-0.039271
14.270940,-0.114026,0.266060,-0.038009
14.291034,-0.110227,0.257197,-0.036742
14.311128,-0.106411,0.248293,-0.035470
14.331223,-0.102573,0.239337,-0.034191
14.351317,-0.098709,0.230320,-0.032903
14.371411,-0.094821,0.221250,-0.031607
14.391506,-0.090925,0.212159,-0.030308
14.411600,-0.087036,0.203084,-0.029012
